Product Link,Product Name,Price
https://www.flipkart.com/samsung-galaxy-s24-5g-cobalt-violet-256-gb/p/itm46fc37ddc7255?pid=MOBGX2F3GDX7QYFT&lid=LSTMOBGX2F3GDX7QYFTDDMJ7Z&marketplace=FLIPKART&q=mobile+phones+&store=tyy%2F4io&srno=s_1_11&otracker=search&otracker1=search&fm=Search&iid=40390f53-2a2a-470c-9e83-68bf998bf72d.MOBGX2F3GDX7QYFT.SEARCH&ppt=sp&ppn=sp&ssid=ovoo4cygls0000001728191536253&qH=f696c2fbb0b173a0,"SAMSUNG Galaxy S24+ 5G (Cobalt Violet, 256 GB)","₹66,999"
https://www.flipkart.com/samsung-galaxy-s23-5g-phantom-black-128-gb/p/itm1f3efe01d1c61?pid=MOBGNPGZVX4PCTTF&lid=LSTMOBGNPGZVX4PCTTFYWYWBL&marketplace=FLIPKART&q=mobile+phones+&store=tyy%2F4io&srno=s_1_12&otracker=search&otracker1=search&fm=Search&iid=40390f53-2a2a-470c-9e83-68bf998bf72d.MOBGNPGZVX4PCTTF.SEARCH&ppt=sp&ppn=sp&ssid=ovoo4cygls0000001728191536253&qH=f696c2fbb0b173a0,"SAMSUNG Galaxy S23 5G (Phantom Black, 128 GB)","₹39,999"
https://www.flipkart.com/samsung-galaxy-s23-fe-purple-256-gb/p/itm8f6a49271bf21?pid=MOBGVTA2VGHCJFGG&lid=LSTMOBGVTA2VGHCJFGG1TC2LI&marketplace=FLIPKART&q=mobile+phones+&store=tyy%2F4io&srno=s_1_13&otracker=search&otracker1=search&fm=Search&iid=40390f53-2a2a-470c-9e83-68bf998bf72d.MOBGVTA2VGHCJFGG.SEARCH&ppt=sp&ppn=sp&ssid=ovoo4cygls0000001728191536253&qH=f696c2fbb0b173a0,"SAMSUNG Galaxy S23 FE (Purple, 256 GB)","₹32,999"
https://www.flipkart.com/samsung-galaxy-s23-5g-phantom-black-256-gb/p/itm347e695feffe7?pid=MOBGMFFXPNSHBGRC&lid=LSTMOBGMFFXPNSHBGRCPG5BZP&marketplace=FLIPKART&q=mobile+phones+&store=tyy%2F4io&srno=s_1_14&otracker=search&otracker1=search&fm=Search&iid=40390f53-2a2a-470c-9e83-68bf998bf72d.MOBGMFFXPNSHBGRC.SEARCH&ppt=sp&ppn=sp&ssid=ovoo4cygls0000001728191536253&qH=f696c2fbb0b173a0,"SAMSUNG Galaxy S23 5G (Phantom Black, 256 GB)","₹44,999"
https://www.flipkart.com/samsung-galaxy-s23-5g-cream-256-gb/p/itm745d4b532623e?pid=MOBGMFFXURCVYANE&lid=LSTMOBGMFFXURCVYANE4SRNTK&marketplace=FLIPKART&q=mobile+phones+&store=tyy%2F4io&srno=s_1_15&otracker=search&otracker1=search&fm=Search&iid=40390f53-2a2a-470c-9e83-68bf998bf72d.MOBGMFFXURCVYANE.SEARCH&ppt=sp&ppn=sp&ssid=ovoo4cygls0000001728191536253&qH=f696c2fbb0b173a0,"SAMSUNG Galaxy S23 5G (Cream, 256 GB)","₹44,999"
https://www.flipkart.com/samsung-galaxy-a54-5g-awesome-violet-128-gb/p/itm4bbcb0b5e1b2d?pid=MOBGNE4SRZG7HKW4&lid=LSTMOBGNE4SRZG7HKW4DFYGZ7&marketplace=FLIPKART&q=mobile+phones+&store=tyy%2F4io&srno=s_1_16&otracker=search&otracker1=search&fm=Search&iid=40390f53-2a2a-470c-9e83-68bf998bf72d.MOBGNE4SRZG7HKW4.SEARCH&ppt=sp&ppn=sp&ssid=ovoo4cygls0000001728191536253&qH=f696c2fbb0b173a0,"SAMSUNG Galaxy A54 5G (Awesome Violet, 128 GB)","₹29,499"
https://www.flipkart.com/samsung-galaxy-s23-fe-purple-128-gb/p/itm03da6b42ff68e?pid=MOBGVTA24G7GHE6M&lid=LSTMOBGVTA24G7GHE6MN4I8LB&marketplace=FLIPKART&q=mobile+phones+&store=tyy%2F4io&srno=s_1_17&otracker=search&otracker1=search&fm=Search&iid=40390f53-2a2a-470c-9e83-68bf998bf72d.MOBGVTA24G7GHE6M.SEARCH&ppt=sp&ppn=sp&ssid=ovoo4cygls0000001728191536253&qH=f696c2fbb0b173a0,"SAMSUNG Galaxy S23 FE (Purple, 128 GB)","₹29,999"
https://www.flipkart.com/samsung-galaxy-s23-5g-lavender-128-gb/p/itmd3e8445fc75c9?pid=MOBGNPGZFWUKKJGR&lid=LSTMOBGNPGZFWUKKJGRF0SBQA&marketplace=FLIPKART&q=mobile+phones+&store=tyy%2F4io&srno=s_1_18&otracker=search&otracker1=search&fm=Search&iid=40390f53-2a2a-470c-9e83-68bf998bf72d.MOBGNPGZFWUKKJGR.SEARCH&ppt=sp&ppn=sp&ssid=ovoo4cygls0000001728191536253&qH=f696c2fbb0b173a0,"SAMSUNG Galaxy S23 5G (Lavender, 128 GB)","₹39,999"
https://www.flipkart.com/samsung-galaxy-a55-5g-awesome-iceblue-128-gb/p/itm0bb662185bcc4?pid=MOBGYT2HX4A4QAWW&lid=LSTMOBGYT2HX4A4QAWWILKKCV&marketplace=FLIPKART&q=mobile+phones+&store=tyy%2F4io&srno=s_1_19&otracker=search&otracker1=search&fm=Search&iid=40390f53-2a2a-470c-9e83-68bf998bf72d.MOBGYT2HX4A4QAWW.SEARCH&ppt=sp&ppn=sp&ssid=ovoo4cygls0000001728191536253&qH=f696c2fbb0b173a0,"SAMSUNG Galaxy A55 5G (Awesome Iceblue, 128 GB)","₹40,499"
https://www.flipkart.com/samsung-galaxy-s24-ultra-5g-titanium-gray-256-gb/p/itm12ef5ea0212ed?pid=MOBGX2F3RQKKKTAW&lid=LSTMOBGX2F3RQKKKTAWKAVWET&marketplace=FLIPKART&q=mobile+phones+&store=tyy%2F4io&srno=s_1_20&otracker=search&otracker1=search&fm=Search&iid=40390f53-2a2a-470c-9e83-68bf998bf72d.MOBGX2F3RQKKKTAW.SEARCH&ppt=sp&ppn=sp&ssid=ovoo4cygls0000001728191536253&qH=f696c2fbb0b173a0,"SAMSUNG Galaxy S24 Ultra 5G (Titanium Gray, 256 GB)","₹1,21,999"
https://www.flipkart.com/samsung-galaxy-a15-5g-blue-128-gb/p/itm06604fe9b8276?pid=MOBGWD85AZCYWPYW&lid=LSTMOBGWD85AZCYWPYW1UL2UD&marketplace=FLIPKART&q=mobile+phones+&store=tyy%2F4io&srno=s_1_21&otracker=search&otracker1=search&fm=Search&iid=40390f53-2a2a-470c-9e83-68bf998bf72d.MOBGWD85AZCYWPYW.SEARCH&ppt=sp&ppn=sp&ssid=ovoo4cygls0000001728191536253&qH=f696c2fbb0b173a0,"SAMSUNG Galaxy A15 5G (Blue, 128 GB)","₹20,299"
https://www.flipkart.com/samsung-galaxy-a55-5g-awesome-navy-128-gb/p/itm7ac5d2771f7a0?pid=MOBGYT2H4PGHBRHJ&lid=LSTMOBGYT2H4PGHBRHJOLNHBC&marketplace=FLIPKART&q=mobile+phones+&store=tyy%2F4io&srno=s_1_22&otracker=search&otracker1=search&fm=Search&iid=40390f53-2a2a-470c-9e83-68bf998bf72d.MOBGYT2H4PGHBRHJ.SEARCH&ppt=sp&ppn=sp&ssid=ovoo4cygls0000001728191536253&qH=f696c2fbb0b173a0,"SAMSUNG Galaxy A55 5G (Awesome Navy, 128 GB)","₹40,499"
https://www.flipkart.com/samsung-galaxy-s21-fe-5g-snapdragon-888-navy-256-gb/p/itm634644b6561df?pid=MOBGSXD7KAXUY8NH&lid=LSTMOBGSXD7KAXUY8NHCPPAUN&marketplace=FLIPKART&q=mobile+phones+&store=tyy%2F4io&srno=s_1_23&otracker=search&otracker1=search&fm=Search&iid=40390f53-2a2a-470c-9e83-68bf998bf72d.MOBGSXD7KAXUY8NH.SEARCH&ppt=sp&ppn=sp&ssid=ovoo4cygls0000001728191536253&qH=f696c2fbb0b173a0,"Samsung Galaxy S21 FE 5G with Snapdragon 888 (Navy, 256 GB)","₹27,900"
